SSID_MAC주소,지하철역명,지하철호선ID
04:17:b2:04:68:a8,산성,1008
02:17:b2:02:7d:ee,산성,1008
02:17:b2:02:68:aa,산성,1008
02:17:b2:02:7d:ec,산성,1008
02:17:b2:02:68:a8,산성,1008
00:07:89:14:6d:30,남한산성입구,1008
00:07:89:14:6d:31,남한산성입구,1008
00:40:5a:c9:13:fa,남한산성입구,1008
00:07:89:14:6d:45,남한산성입구,1008
06:30:0d:5d:ca:e4,남한산성입구,1008
00:40:5a:c9:05:e2,남한산성입구,1008
00:07:89:14:6d:59,남한산성입구,1008
02:07:89:14:6d:30,남한산성입구,1008
02:07:89:14:6d:31,남한산성입구,1008
00:40:5a:c9:13:fb,남한산성입구,1008
02:07:89:14:6d:45,남한산성입구,1008
02:07:89:14:6d:59,남한산성입구,1008
00:30:0d:80:23:80,수서,1003
00:30:0d:80:23:90,수서,1003
00:30:0d:80:10:50,수서,1003
00:40:5a:bb:9e:93,수서,1003
06:30:0d:7f:a9:21,수서,1003
00:40:5a:bb:4d:32,수서,1003
0a:30:0d:7f:a9:31,수서,1003
00:40:5a:b0:20:d2,동대문,1004
00:07:89:10:44:9d,동대문,1004
02:09:b4:61:21:1b,당산,1009
02:09:b4:61:1b:c2,당산,1009
00:30:0d:83:81:60,당산,1009
00:40:5a:b8:0b:d3,당산,1009
00:09:b4:61:1d:53,당산,1009
00:09:b4:61:21:1a,당산,1009
00:09:b4:61:26:4b,당산,1009
02:09:b4:61:20:f2,당산,1009
02:09:b4:61:26:4a,당산,1009
0a:30:0d:83:74:72,당산,1009
00:30:0d:83:88:90,당산,1009
00:30:0d:83:74:70,당산,1009
00:30:0d:83:73:30,당산,1009
02:09:b4:61:26:4b,당산,1009
00:40:5a:b8:10:03,당산,1009
00:40:5a:b8:10:02,당산,1009
0a:30:0d:83:88:92,당산,1009
0a:30:0d:83:73:32,당산,1009
00:40:5a:bb:26:03,당산,1009
00:40:5a:b8:2c:6a,당산,1009
02:09:b4:61:3d:5b,동묘앞,1006
00:09:b4:61:3b:aa,동묘앞,1006
